id,token_id,price,hostess_name,image_uri,commission_rate,payout,buyer,affiliate,contract_address,tier,paid_at
27.2, 27, 80000000000000000, Luna Mirage, https://ik.imagekit.io/blockster/luna.jpg, 5, 4000000000000000, 0xFacF00FFE1833C744a39A23A7107DCDFF3E5ff44, 0x315443Bf8fBA3d9A38b11300E921a97b991d8C24, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 2, 1722576273000000
28.1, 28, 80000000000000000, Luna Mirage, https://ik.imagekit.io/blockster/luna.jpg, 20, 16000000000000000, 0xFacF00FFE1833C744a39A23A7107DCDFF3E5ff44, 0x5ccfF6105479356a458157f1228Ea40fE10e2D54, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 1, 1722576273000000
28.2, 28, 80000000000000000, Luna Mirage, https://ik.imagekit.io/blockster/luna.jpg, 5, 4000000000000000, 0xFacF00FFE1833C744a39A23A7107DCDFF3E5ff44, 0x315443Bf8fBA3d9A38b11300E921a97b991d8C24, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 2, 1722576273000000
29.1, 29, 80000000000000000, Luna Mirage, https://ik.imagekit.io/blockster/luna.jpg, 20, 16000000000000000, 0xFacF00FFE1833C744a39A23A7107DCDFF3E5ff44, 0x5ccfF6105479356a458157f1228Ea40fE10e2D54, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 1, 1722576273000000
29.2, 29, 80000000000000000, Luna Mirage, https://ik.imagekit.io/blockster/luna.jpg, 5, 4000000000000000, 0xFacF00FFE1833C744a39A23A7107DCDFF3E5ff44, 0x315443Bf8fBA3d9A38b11300E921a97b991d8C24, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 2, 1722576273000000
30.1, 30, 80000000000000000, Luna Mirage, https://ik.imagekit.io/blockster/luna.jpg, 20, 16000000000000000, 0xFacF00FFE1833C744a39A23A7107DCDFF3E5ff44, 0x5ccfF6105479356a458157f1228Ea40fE10e2D54, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 1, 1722576273000000
30.2, 30, 80000000000000000, Luna Mirage, https://ik.imagekit.io/blockster/luna.jpg, 5, 4000000000000000, 0xFacF00FFE1833C744a39A23A7107DCDFF3E5ff44, 0x315443Bf8fBA3d9A38b11300E921a97b991d8C24, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 2, 1722576273000000
31.1, 31, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 20, 16000000000000000, 0xBfeb1833c099a16f6D40A0148690D4F206f1A3b6, 0x1B2478C954237ff3E82a8CAe60Af90A375BABF83, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 1, 1722576386000000
31.2, 31, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 5, 4000000000000000, 0xBfeb1833c099a16f6D40A0148690D4F206f1A3b6, 0xAe47e418A03b954C2294E78b9c136687b5761ECc, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 2, 1722576386000000
32.1, 32, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 20, 16000000000000000, 0xBfeb1833c099a16f6D40A0148690D4F206f1A3b6, 0x1B2478C954237ff3E82a8CAe60Af90A375BABF83, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 1, 1722576386000000
32.2, 32, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 5, 4000000000000000, 0xBfeb1833c099a16f6D40A0148690D4F206f1A3b6, 0xAe47e418A03b954C2294E78b9c136687b5761ECc, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 2, 1722576386000000
33.1, 33, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 20, 16000000000000000, 0xBfeb1833c099a16f6D40A0148690D4F206f1A3b6, 0x1B2478C954237ff3E82a8CAe60Af90A375BABF83, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 1, 1722576386000000
33.2, 33, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 5, 4000000000000000, 0xBfeb1833c099a16f6D40A0148690D4F206f1A3b6, 0xAe47e418A03b954C2294E78b9c136687b5761ECc, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 2, 1722576386000000
34.1, 34, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 20, 16000000000000000, 0xBfeb1833c099a16f6D40A0148690D4F206f1A3b6, 0x1B2478C954237ff3E82a8CAe60Af90A375BABF83, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 1, 1722576386000000
34.2, 34, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 5, 4000000000000000, 0xBfeb1833c099a16f6D40A0148690D4F206f1A3b6, 0xAe47e418A03b954C2294E78b9c136687b5761ECc, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 2, 1722576386000000
35.1, 35, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 20, 16000000000000000, 0xBfeb1833c099a16f6D40A0148690D4F206f1A3b6, 0x1B2478C954237ff3E82a8CAe60Af90A375BABF83, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 1, 1722576386000000
35.2, 35, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 5, 4000000000000000, 0xBfeb1833c099a16f6D40A0148690D4F206f1A3b6, 0xAe47e418A03b954C2294E78b9c136687b5761ECc, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 2, 1722576386000000
36.1, 36, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 20, 16000000000000000, 0xBfeb1833c099a16f6D40A0148690D4F206f1A3b6, 0x1B2478C954237ff3E82a8CAe60Af90A375BABF83, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 1, 1722576386000000
36.2, 36, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 5, 4000000000000000, 0xBfeb1833c099a16f6D40A0148690D4F206f1A3b6, 0xAe47e418A03b954C2294E78b9c136687b5761ECc, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 2, 1722576386000000
37.1, 37, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 20, 16000000000000000, 0xBfeb1833c099a16f6D40A0148690D4F206f1A3b6, 0x1B2478C954237ff3E82a8CAe60Af90A375BABF83, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 1, 1722576386000000
